,CodeCommune,NomCommune,Libellé région,Libellé typologie
181,01211,LENT,Auvergne-Rhône-Alpes,Communes peu denses
182,01212,LESCHEROUX,Auvergne-Rhône-Alpes,Communes peu denses
183,01213,LEYMENT,Auvergne-Rhône-Alpes,Communes peu denses
184,01214,LEYSSARD,Auvergne-Rhône-Alpes,Communes très peu denses
185,01215,SURJOUX-LHOPITAL,Auvergne-Rhône-Alpes,Communes très peu denses
186,01216,LHUIS,Auvergne-Rhône-Alpes,Communes peu denses
187,01219,LOMPNAS,Auvergne-Rhône-Alpes,Communes très peu denses
188,01224,LOYETTES,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
189,01225,LURCY,Auvergne-Rhône-Alpes,Communes peu denses
190,01227,MAGNIEU,Auvergne-Rhône-Alpes,Communes peu denses
191,01228,MAILLAT,Auvergne-Rhône-Alpes,Communes peu denses
192,01229,MALAFRETAZ,Auvergne-Rhône-Alpes,Communes peu denses
193,01230,MANTENAY-MONTLIN,Auvergne-Rhône-Alpes,Communes peu denses
194,01231,MANZIAT,Auvergne-Rhône-Alpes,Communes peu denses
195,01232,MARBOZ,Auvergne-Rhône-Alpes,Communes peu denses
196,01233,MARCHAMP,Auvergne-Rhône-Alpes,Communes très peu denses
197,01234,MARIGNIEU,Auvergne-Rhône-Alpes,Communes très peu denses
198,01235,MARLIEUX,Auvergne-Rhône-Alpes,Communes peu denses
199,01236,MARSONNAS,Auvergne-Rhône-Alpes,Communes peu denses
200,01237,MARTIGNAT,Auvergne-Rhône-Alpes,Communes peu denses
201,01238,MASSIEUX,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
202,01239,MASSIGNIEU-DE-RIVES,Auvergne-Rhône-Alpes,Communes peu denses
203,01240,MATAFELON-GRANGES,Auvergne-Rhône-Alpes,Communes très peu denses
204,01241,MEILLONNAS,Auvergne-Rhône-Alpes,Communes peu denses
205,01242,MERIGNAT,Auvergne-Rhône-Alpes,Communes très peu denses
206,01243,MESSIMY-SUR-SAONE,Auvergne-Rhône-Alpes,Communes peu denses
207,01244,MEXIMIEUX,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
208,01245,BOHAS-MEYRIAT-RIGNAT,Auvergne-Rhône-Alpes,Communes peu denses
209,01246,MEZERIAT,Auvergne-Rhône-Alpes,Communes peu denses
210,01247,MIJOUX,Auvergne-Rhône-Alpes,Communes très peu denses
211,01248,MIONNAY,Auvergne-Rhône-Alpes,Communes peu denses
212,01249,MIRIBEL,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
213,01250,MISERIEUX,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
214,01252,MOGNENEINS,Auvergne-Rhône-Alpes,Communes peu denses
215,01254,MONTAGNAT,Auvergne-Rhône-Alpes,Communes peu denses
216,01255,MONTAGNIEU,Auvergne-Rhône-Alpes,Communes peu denses
217,01257,MONTANGES,Auvergne-Rhône-Alpes,Communes très peu denses
218,01258,MONTCEAUX,Auvergne-Rhône-Alpes,Communes peu denses
219,01259,MONTCET,Auvergne-Rhône-Alpes,Communes peu denses
220,01260,LE MONTELLIER,Auvergne-Rhône-Alpes,Communes très peu denses
221,01261,MONTHIEUX,Auvergne-Rhône-Alpes,Communes peu denses
222,01262,MONTLUEL,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
223,01263,MONTMERLE-SUR-SAONE,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
224,01264,MONTRACOL,Auvergne-Rhône-Alpes,Communes peu denses
225,01265,MONTREAL-LA-CLUSE,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
226,01266,MONTREVEL-EN-BRESSE,Auvergne-Rhône-Alpes,Communes peu denses
227,01267,NURIEUX-VOLOGNAT,Auvergne-Rhône-Alpes,Communes peu denses
228,01268,MURS-ET-GELIGNIEUX,Auvergne-Rhône-Alpes,Communes peu denses
229,01269,NANTUA,Auvergne-Rhône-Alpes,Communes peu denses
230,01272,NEUVILLE-LES-DAMES,Auvergne-Rhône-Alpes,Communes peu denses
231,01273,NEUVILLE-SUR-AIN,Auvergne-Rhône-Alpes,Communes peu denses
232,01274,LES NEYROLLES,Auvergne-Rhône-Alpes,Communes peu denses
233,01275,NEYRON,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
234,01276,NIEVROZ,Auvergne-Rhône-Alpes,Communes peu denses
235,01277,NIVOLLET-MONTGRIFFON,Auvergne-Rhône-Alpes,Communes très peu denses
236,01279,ONCIEU,Auvergne-Rhône-Alpes,Communes très peu denses
237,01280,ORDONNAZ,Auvergne-Rhône-Alpes,Communes très peu denses
238,01281,ORNEX,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
239,01282,OUTRIAZ,Auvergne-Rhône-Alpes,Communes peu denses
240,01283,OYONNAX,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
241,01284,OZAN,Auvergne-Rhône-Alpes,Communes peu denses
242,01285,PARCIEUX,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
243,01286,PARVES ET NATTAGES,Auvergne-Rhône-Alpes,Communes peu denses
244,01288,PERON,Auvergne-Rhône-Alpes,Communes peu denses
245,01289,PERONNAS,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
246,01290,PEROUGES,Auvergne-Rhône-Alpes,Communes peu denses
247,01291,PERREX,Auvergne-Rhône-Alpes,Communes peu denses
248,01293,PEYRIAT,Auvergne-Rhône-Alpes,Communes très peu denses
249,01294,PEYRIEU,Auvergne-Rhône-Alpes,Communes peu denses
250,01295,PEYZIEUX-SUR-SAONE,Auvergne-Rhône-Alpes,Communes peu denses
251,01296,PIRAJOUX,Auvergne-Rhône-Alpes,Communes peu denses
252,01297,PIZAY,Auvergne-Rhône-Alpes,Communes peu denses
253,01298,PLAGNE,Auvergne-Rhône-Alpes,Communes très peu denses
254,01299,LE PLANTAY,Auvergne-Rhône-Alpes,Communes peu denses
255,01301,POLLIAT,Auvergne-Rhône-Alpes,Communes peu denses
256,01302,POLLIEU,Auvergne-Rhône-Alpes,Communes très peu denses
257,01303,PONCIN,Auvergne-Rhône-Alpes,Communes peu denses
258,01304,PONT-D'AIN,Auvergne-Rhône-Alpes,Communes peu denses
259,01305,PONT-DE-VAUX,Auvergne-Rhône-Alpes,Communes peu denses
260,01306,PONT-DE-VEYLE,Auvergne-Rhône-Alpes,Communes peu denses
261,01307,PORT,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
262,01308,POUGNY,Auvergne-Rhône-Alpes,Communes peu denses
263,01309,POUILLAT,Auvergne-Rhône-Alpes,Communes très peu denses
264,01310,PREMEYZEL,Auvergne-Rhône-Alpes,Communes très peu denses
265,01311,PREMILLIEU,Auvergne-Rhône-Alpes,Communes très peu denses
266,01313,PREVESSIN-MOENS,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
267,01314,PRIAY,Auvergne-Rhône-Alpes,Communes peu denses
268,01317,RAMASSE,Auvergne-Rhône-Alpes,Communes peu denses
269,01318,RANCE,Auvergne-Rhône-Alpes,Communes peu denses
270,01319,RELEVANT,Auvergne-Rhône-Alpes,Communes peu denses
271,01320,REPLONGES,Auvergne-Rhône-Alpes,Communes peu denses
272,01321,REVONNAS,Auvergne-Rhône-Alpes,Communes peu denses
273,01322,REYRIEUX,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
274,01323,REYSSOUZE,Auvergne-Rhône-Alpes,Communes peu denses
275,01325,RIGNIEUX-LE-FRANC,Auvergne-Rhône-Alpes,Communes peu denses
276,01328,ROMANS,Auvergne-Rhône-Alpes,Communes très peu denses
277,01329,ROSSILLON,Auvergne-Rhône-Alpes,Communes très peu denses
278,01330,RUFFIEU,Auvergne-Rhône-Alpes,Communes très peu denses
279,01331,SAINT-ALBAN,Auvergne-Rhône-Alpes,Communes très peu denses
280,01332,SAINT-ANDRE-DE-BAGE,Auvergne-Rhône-Alpes,Communes peu denses
281,01333,SAINT-ANDRE-DE-CORCY,Auvergne-Rhône-Alpes,Communes peu denses
282,01334,SAINT-ANDRE-D'HUIRIAT,Auvergne-Rhône-Alpes,Communes peu denses
283,01335,SAINT-ANDRE-LE-BOUCHOUX,Auvergne-Rhône-Alpes,Communes peu denses
284,01336,SAINT-ANDRE-SUR-VIEUX-JONC,Auvergne-Rhône-Alpes,Communes peu denses
285,01337,SAINT-BENIGNE,Auvergne-Rhône-Alpes,Communes peu denses
286,01338,GROSLEE-SAINT-BENOIT,Auvergne-Rhône-Alpes,Communes peu denses
287,01339,SAINT-BERNARD,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
288,01342,SAINTE-CROIX,Auvergne-Rhône-Alpes,Communes peu denses
289,01343,SAINT-CYR-SUR-MENTHON,Auvergne-Rhône-Alpes,Communes peu denses
290,01344,SAINT-DENIS-LES-BOURG,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
291,01345,SAINT-DENIS-EN-BUGEY,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
292,01346,SAINT-DIDIER-D'AUSSIAT,Auvergne-Rhône-Alpes,Communes peu denses
293,01347,SAINT-DIDIER-DE-FORMANS,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
294,01348,SAINT-DIDIER-SUR-CHALARONNE,Auvergne-Rhône-Alpes,Communes peu denses
295,01349,SAINT-ELOI,Auvergne-Rhône-Alpes,Communes peu denses
296,01350,SAINT-ETIENNE-DU-BOIS,Auvergne-Rhône-Alpes,Communes peu denses
297,01351,SAINT-ETIENNE-SUR-CHALARONNE,Auvergne-Rhône-Alpes,Communes peu denses
298,01352,SAINT-ETIENNE-SUR-REYSSOUZE,Auvergne-Rhône-Alpes,Communes peu denses
299,01353,SAINTE-EUPHEMIE,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
300,01354,SAINT-GENIS-POUILLY,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
